Roll No		Attendance Percentage
---------------------------------
1300		0%
1500		0%
1800		0%
2200		0%
2300		0%
2600		0%
4000		0%
4200		0%
4700		0%
4900		0%
6100		0%
6300		0%
6500		0%
6800		0%
7500		0%
8300		0%
8600		0%
8800		0%
9100		0%
9200		0%
9300		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
1001		0%
2401		0%
2601		0%
2801		0%
4001		0%
4201		0%
4401		0%
4801		0%
5201		0%
5601		0%
5801		0%
6001		0%
6301		0%
6401		0%
6901		0%
7201		0%
7701		0%
7901		0%
9201		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
1002		0%
2102		0%
2602		0%
2702		0%
2802		0%
3002		0%
3302		0%
3602		0%
3702		0%
4002		0%
4902		0%
5002		0%
5402		0%
7502		0%
7602		0%
7702		0%
7802		0%
8202		0%
8402		0%
8602		0%
9402		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
1003		0%
1103		0%
1303		0%
1403		0%
1603		0%
2003		0%
2303		0%
3603		0%
3703		0%
4103		0%
5003		0%
5603		0%
5703		0%
6003		0%
6303		0%
6403		0%
6703		0%
8303		0%
8403		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
1504		0%
1604		0%
3004		0%
3404		0%
3604		0%
3904		0%
4504		0%
5404		0%
5504		0%
5604		0%
6104		0%
6204		0%
6404		0%
6804		0%
7604		0%
7704		0%
9104		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
1105		0%
1805		0%
2005		0%
2305		0%
2705		0%
3405		0%
4405		0%
4605		0%
4905		0%
5005		0%
5105		0%
5405		0%
5505		0%
5605		0%
5705		0%
6105		0%
6305		0%
6405		0%
6505		0%
8305		0%
9305		0%
9705		0%
9905		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
1506		0%
2106		0%
3006		0%
3806		0%
5106		0%
5206		0%
5706		0%
7206		0%
7706		0%
8106		0%
8706		0%
9006		0%
9206		0%
9806		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
1207		0%
1307		0%
1607		0%
2107		0%
2207		0%
2307		0%
3307		0%
3407		0%
3807		0%
4807		0%
5007		0%
5207		0%
6307		0%
6507		0%
6707		0%
7107		0%
7207		0%
7507		0%
8007		0%
8807		0%
9207		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
2908		0%
3308		0%
3408		0%
3508		0%
3708		0%
4708		0%
7408		0%
7508		0%
7708		0%
7908		0%
8208		0%
8508		0%
9208		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
0		0%
